Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
HCL-6	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				HCL-6	FILES/HCL-601.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
HCL-3-1	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				HCL-3-1	FILES/HCL-3-101.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
HCL-15	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				HCL-15	FILES/HCL-1501.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
HCL-14	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				HCL-14	FILES/HCL-1401.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
HCL-4	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				HCL-4	FILES/HCL-401.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
HCL-16	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				HCL-16	FILES/HCL-1601.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-72	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-72	FILES/CH-7201.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-79	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-79	FILES/CH-7901.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-14	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-14	FILES/CH-1401.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-44	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-44	FILES/CH-4401.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-07	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-07	FILES/CH-0701.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-73-1	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-73-1	FILES/CH-73-101.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-24	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-24	FILES/CH-2401.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-71	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-71	FILES/CH-7101.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-60	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-60	FILES/CH-6001.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-78	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-78	FILES/CH-7801.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-75	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-75	FILES/CH-7501.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-39	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-39	FILES/CH-3901.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-21	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-21	FILES/CH-2101.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-47	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-47	FILES/CH-4701.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-19	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-19	FILES/CH-1901.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-43	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-43	FILES/CH-4301.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-03	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-03	FILES/CH-0301.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-27	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-27	FILES/CH-2701.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-102	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-102	FILES/CH-10201.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-50	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-50	FILES/CH-5001.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-65	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-65	FILES/CH-6501.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-90	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-90	FILES/CH-9001.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-26	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-26	FILES/CH-2601.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-64	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-64	FILES/CH-6401.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-93	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-93	FILES/CH-9301.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-35	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-35	FILES/CH-3501.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-11	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-11	FILES/CH-1101.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-86	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-86	FILES/CH-8601.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-69	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-69	FILES/CH-6901.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-70	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-70	FILES/CH-7001.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-34-1	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-34-1	FILES/CH-34-101.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-31	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-31	FILES/CH-3101.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
CH-37	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				CH-37	FILES/CH-3701.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
