Sample Name	Protocol REF	Parameter Value[Extraction Method]	Extract Name	Protocol REF	Parameter Value[NMR tube type]	Term Source REF	Term Accession Number	Parameter Value[Solvent]	Term Source REF	Term Accession Number	Parameter Value[Sample pH]	Parameter Value[Temperature]	Unit	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[NMR Probe]	Term Source REF	Term Accession Number	Parameter Value[Number of transients]	Parameter Value[Pulse sequence name]	Parameter Value[Magnetic field strength]	Unit	Term Source REF	Term Accession Number	Acquisition Parameter Data File	Protocol REF	NMR Assay Name	Free Induction Decay Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
SNUK IgAN 111	Extraction		SNUK IgAN 111	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000375	D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000356	7.3-7.7	298	Kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	5 mm CPTCI 1H-13C/15N/D Z-GRD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000460	128	1D NOESY with presaturation during relaxation delay and mixing time and spoil gradient (noesygppr1d_kr)	18.8	Tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/RAW_FILES/acqus111.txt	NMR assay	SNUK IgAN 111	FILES/RAW_FILES/111.zip	Data transformation	SNUK IgAN 111		Metabolite identification	SNUK IgAN 111	m_MTBLS6331_NMR___metabolite_profiling_v2_maf.tsv
SNUK IgAN 112	Extraction		SNUK IgAN 112	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000375	D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000356	7.3-7.7	298	Kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	5 mm CPTCI 1H-13C/15N/D Z-GRD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000460	128	1D NOESY with presaturation during relaxation delay and mixing time and spoil gradient (noesygppr1d_kr)	18.8	Tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/RAW_FILES/acqus112.txt	NMR assay	SNUK IgAN 112	FILES/RAW_FILES/112.zip	Data transformation	SNUK IgAN 112		Metabolite identification	SNUK IgAN 112	m_MTBLS6331_NMR___metabolite_profiling_v2_maf.tsv
SNUK IgAN 113	Extraction		SNUK IgAN 113	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000375	D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000356	7.3-7.7	298	Kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	5 mm CPTCI 1H-13C/15N/D Z-GRD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000460	128	1D NOESY with presaturation during relaxation delay and mixing time and spoil gradient (noesygppr1d_kr)	18.8	Tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/RAW_FILES/acqus113.txt	NMR assay	SNUK IgAN 113	FILES/RAW_FILES/113.zip	Data transformation	SNUK IgAN 113		Metabolite identification	SNUK IgAN 113	m_MTBLS6331_NMR___metabolite_profiling_v2_maf.tsv
SNUK IgAN 114	Extraction		SNUK IgAN 114	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000375	D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000356	7.3-7.7	298	Kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	5 mm CPTCI 1H-13C/15N/D Z-GRD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000460	128	1D NOESY with presaturation during relaxation delay and mixing time and spoil gradient (noesygppr1d_kr)	18.8	Tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/RAW_FILES/acqus114.txt	NMR assay	SNUK IgAN 114	FILES/RAW_FILES/114.zip	Data transformation	SNUK IgAN 114		Metabolite identification	SNUK IgAN 114	m_MTBLS6331_NMR___metabolite_profiling_v2_maf.tsv
SNUK IgAN 115	Extraction		SNUK IgAN 115	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000375	D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000356	7.3-7.7	298	Kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	5 mm CPTCI 1H-13C/15N/D Z-GRD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000460	128	1D NOESY with presaturation during relaxation delay and mixing time and spoil gradient (noesygppr1d_kr)	18.8	Tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/RAW_FILES/acqus115.txt	NMR assay	SNUK IgAN 115	FILES/RAW_FILES/115.zip	Data transformation	SNUK IgAN 115		Metabolite identification	SNUK IgAN 115	m_MTBLS6331_NMR___metabolite_profiling_v2_maf.tsv
SNUK IgAN 116	Extraction		SNUK IgAN 116	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000375	D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000356	7.3-7.7	298	Kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	5 mm CPTCI 1H-13C/15N/D Z-GRD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000460	128	1D NOESY with presaturation during relaxation delay and mixing time and spoil gradient (noesygppr1d_kr)	18.8	Tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/RAW_FILES/acqus116.txt	NMR assay	SNUK IgAN 116	FILES/RAW_FILES/116.zip	Data transformation	SNUK IgAN 116		Metabolite identification	SNUK IgAN 116	m_MTBLS6331_NMR___metabolite_profiling_v2_maf.tsv
SNUK IgAN 117	Extraction		SNUK IgAN 117	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000375	D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000356	7.3-7.7	298	Kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	5 mm CPTCI 1H-13C/15N/D Z-GRD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000460	128	1D NOESY with presaturation during relaxation delay and mixing time and spoil gradient (noesygppr1d_kr)	18.8	Tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/RAW_FILES/acqus117.txt	NMR assay	SNUK IgAN 117	FILES/RAW_FILES/117.zip	Data transformation	SNUK IgAN 117		Metabolite identification	SNUK IgAN 117	m_MTBLS6331_NMR___metabolite_profiling_v2_maf.tsv
SNUK IgAN 118	Extraction		SNUK IgAN 118	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000375	D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000356	7.3-7.7	298	Kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	5 mm CPTCI 1H-13C/15N/D Z-GRD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000460	128	1D NOESY with presaturation during relaxation delay and mixing time and spoil gradient (noesygppr1d_kr)	18.8	Tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/RAW_FILES/acqus118.txt	NMR assay	SNUK IgAN 118	FILES/RAW_FILES/118.zip	Data transformation	SNUK IgAN 118		Metabolite identification	SNUK IgAN 118	m_MTBLS6331_NMR___metabolite_profiling_v2_maf.tsv
SNUK IgAN 119	Extraction		SNUK IgAN 119	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000375	D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000356	7.3-7.7	298	Kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	5 mm CPTCI 1H-13C/15N/D Z-GRD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000460	128	1D NOESY with presaturation during relaxation delay and mixing time and spoil gradient (noesygppr1d_kr)	18.8	Tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/RAW_FILES/acqus119.txt	NMR assay	SNUK IgAN 119	FILES/RAW_FILES/119.zip	Data transformation	SNUK IgAN 119		Metabolite identification	SNUK IgAN 119	m_MTBLS6331_NMR___metabolite_profiling_v2_maf.tsv
SNUK IgAN 120	Extraction		SNUK IgAN 120	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000375	D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000356	7.3-7.7	298	Kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	5 mm CPTCI 1H-13C/15N/D Z-GRD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000460	128	1D NOESY with presaturation during relaxation delay and mixing time and spoil gradient (noesygppr1d_kr)	18.8	Tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/RAW_FILES/acqus120.txt	NMR assay	SNUK IgAN 120	FILES/RAW_FILES/120.zip	Data transformation	SNUK IgAN 120		Metabolite identification	SNUK IgAN 120	m_MTBLS6331_NMR___metabolite_profiling_v2_maf.tsv
SNUK IgAN 121	Extraction		SNUK IgAN 121	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000375	D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000356	7.3-7.7	298	Kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	5 mm CPTCI 1H-13C/15N/D Z-GRD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000460	128	1D NOESY with presaturation during relaxation delay and mixing time and spoil gradient (noesygppr1d_kr)	18.8	Tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/RAW_FILES/acqus121.txt	NMR assay	SNUK IgAN 121	FILES/RAW_FILES/121.zip	Data transformation	SNUK IgAN 121		Metabolite identification	SNUK IgAN 121	m_MTBLS6331_NMR___metabolite_profiling_v2_maf.tsv
SNUK IgAN 122	Extraction		SNUK IgAN 122	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000375	D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000356	7.3-7.7	298	Kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	5 mm CPTCI 1H-13C/15N/D Z-GRD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000460	128	1D NOESY with presaturation during relaxation delay and mixing time and spoil gradient (noesygppr1d_kr)	18.8	Tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/RAW_FILES/acqus122.txt	NMR assay	SNUK IgAN 122	FILES/RAW_FILES/122.zip	Data transformation	SNUK IgAN 122		Metabolite identification	SNUK IgAN 122	m_MTBLS6331_NMR___metabolite_profiling_v2_maf.tsv
SNUK IgAN 123	Extraction		SNUK IgAN 123	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000375	D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000356	7.3-7.7	298	Kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	5 mm CPTCI 1H-13C/15N/D Z-GRD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000460	128	1D NOESY with presaturation during relaxation delay and mixing time and spoil gradient (noesygppr1d_kr)	18.8	Tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/RAW_FILES/acqus123.txt	NMR assay	SNUK IgAN 123	FILES/RAW_FILES/123.zip	Data transformation	SNUK IgAN 123		Metabolite identification	SNUK IgAN 123	m_MTBLS6331_NMR___metabolite_profiling_v2_maf.tsv
SNUK IgAN 124	Extraction		SNUK IgAN 124	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000375	D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000356	7.3-7.7	298	Kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	5 mm CPTCI 1H-13C/15N/D Z-GRD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000460	128	1D NOESY with presaturation during relaxation delay and mixing time and spoil gradient (noesygppr1d_kr)	18.8	Tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/RAW_FILES/acqus124.txt	NMR assay	SNUK IgAN 124	FILES/RAW_FILES/124.zip	Data transformation	SNUK IgAN 124		Metabolite identification	SNUK IgAN 124	m_MTBLS6331_NMR___metabolite_profiling_v2_maf.tsv
